ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
112;2;Game3;1;Game1_Game2_Game3;40;720_60_2000;720;60;2000;4,6;6,1;3,5;3,5;1;20;Female;1;Desktop
113;2;Game2;1;Game1_Game2_Game3;41;720_60_2000;720;60;2000;4,9;3,9;5,9;6,3;1;20;Female;1;Desktop
114;2;Game1;1;Game1_Game2_Game3;42;720_60_2000;720;60;2000;3,3;3,7;4,9;5,1;0;20;Female;1;Desktop
115;2;Game2;1;Game1_Game2_Game3;43;720_60_4000;720;60;4000;5,6;6,3;3,8;6,3;1;20;Female;1;Desktop
116;2;Game3;1;Game1_Game2_Game3;44;720_60_4000;720;60;4000;5,2;6,2;3,7;5,6;1;20;Female;1;Desktop
117;2;Game1;1;Game1_Game2_Game3;45;720_60_4000;720;60;4000;4;3,7;3,8;5,9;1;20;Female;1;Desktop
118;2;Game3;1;Game1_Game2_Game3;46;720_60_50000;720;60;50000;5,6;6,5;4,9;6,6;1;20;Female;1;Desktop
119;2;Game1;1;Game1_Game2_Game3;47;720_60_50000;720;60;50000;5,6;6,3;6,3;6,4;1;20;Female;1;Desktop
120;2;Game2;1;Game1_Game2_Game3;48;720_60_50000;720;60;50000;4,7;4,3;4,9;6,2;1;20;Female;1;Desktop
121;2;Game2;1;Game1_Game2_Game3;49;1080_30_2000;1080;30;2000;3,4;6;3,2;2,6;0;20;Female;1;Desktop
122;2;Game1;1;Game1_Game2_Game3;50;1080_30_2000;1080;30;2000;3,7;3,4;3,6;5,1;1;20;Female;1;Desktop
123;2;Game3;1;Game1_Game2_Game3;51;1080_30_2000;1080;30;2000;6;1,6;6,5;6,5;1;20;Female;1;Desktop
124;2;Game1;1;Game1_Game2_Game3;52;1080_30_4000;1080;30;4000;4;1,9;5,1;6,4;1;20;Female;1;Desktop
125;2;Game2;1;Game1_Game2_Game3;53;1080_30_4000;1080;30;4000;5,9;6,6;6,6;6,2;1;20;Female;1;Desktop
126;2;Game3;1;Game1_Game2_Game3;54;1080_30_4000;1080;30;4000;4,6;4,6;6,5;2;0;20;Female;1;Desktop
127;2;Game3;1;Game1_Game2_Game3;55;1080_30_6000;1080;30;6000;5;6,3;6,2;2,3;0;20;Female;1;Desktop
128;2;Game2;1;Game1_Game2_Game3;56;1080_30_6000;1080;30;6000;5,8;6,1;6,2;4,8;1;20;Female;1;Desktop
129;2;Game1;1;Game1_Game2_Game3;57;1080_30_6000;1080;30;6000;5;6,1;3,6;3,3;1;20;Female;1;Desktop
130;2;Game3;1;Game1_Game2_Game3;58;1080_30_50000;1080;30;50000;5,3;6,5;6,5;3,2;1;20;Female;1;Desktop
131;2;Game2;1;Game1_Game2_Game3;59;1080_30_50000;1080;30;50000;5,3;6,4;6,3;2,7;1;20;Female;1;Desktop
132;2;Game1;1;Game1_Game2_Game3;60;1080_30_50000;1080;30;50000;4,8;6,2;6,3;3;1;20;Female;1;Desktop
133;2;Game2;1;Game1_Game2_Game3;61;1080_60_2000;1080;60;2000;2,4;1,2;4,4;5;0;20;Female;1;Desktop
